,text,pos_tag,session,tier_name,start_time,end_time
334,logisch,ADV,r1A,ORT-MAU,909.625458,909.925458
335,wenn,SCONJ,r1A,ORT-MAU,909.925458,910.225458
336,wir,PRON,r1A,ORT-MAU,910.345458,910.545458
337,hier,ADV,r1A,ORT-MAU,910.545458,910.755458
338,den,DET,r1A,ORT-MAU,910.755458,910.985458
339,hier,ADV,r1A,ORT-MAU,910.985458,911.360458
340,hier,ADV,r1A,ORT-MAU,911.360458,911.725458
341,hier,ADV,r1A,ORT-MAU,911.785458,912.328708
342,nein,PART,r1A,ORT-MAU,912.778812,913.245937
343,w-,NOUN,r1A,ORT-MAU,913.245937,913.415938
344,nein,PART,r1A,ORT-MAU,913.415938,913.875937
345,wir,PRON,r1A,ORT-MAU,913.875937,914.005937
346,haben,AUX,r1A,ORT-MAU,914.005937,914.205938
347,hier,ADV,r1A,ORT-MAU,914.335938,914.700938
348,das,PRON,r1A,ORT-MAU,914.700938,914.805938
349,Zimmer,NOUN,r1A,ORT-MAU,914.805938,915.135937
350,da,ADV,r1A,ORT-MAU,915.225937,915.655938
351,die,DET,r1A,ORT-MAU,915.655938,915.895937
352,da,ADV,r1A,ORT-MAU,916.195938,916.445938
353,den,DET,r1A,ORT-MAU,916.445938,916.595937
354,Flur,NOUN,r1A,ORT-MAU,916.645937,917.065938
355,und,CCONJ,r1A,ORT-MAU,917.265937,917.335938
356,hier,ADV,r1A,ORT-MAU,917.335938,917.555938
357,n,X,r1A,ORT-MAU,917.555938,917.585938
358,Zimmer,NOUN,r1A,ORT-MAU,917.585938,917.915938
359,ja,ADV,r1A,ORT-MAU,919.532333,919.904562
360,ah,X,r1A,ORT-MAU,925.775125,925.87225
361,ja,ADV,r1A,ORT-MAU,925.87225,926.05225
362,jo,X,r1A,ORT-MAU,927.387667,927.688146
363,zehn,NUM,r1A,ORT-MAU,930.232875,930.613938
364,zehn,NUM,r1A,ORT-MAU,931.635375,932.0025
365,ja,ADV,r1A,ORT-MAU,933.827063,933.994187
366,dann,ADV,r1A,ORT-MAU,935.145313,935.265313
367,ham,X,r1A,ORT-MAU,935.265313,935.455312
368,dann,ADV,r1A,ORT-MAU,935.455312,935.545313
369,ham,X,r1A,ORT-MAU,935.545313,935.665313
370,wa,X,r1A,ORT-MAU,935.665313,935.745312
371,hundert,NUM,r1A,ORT-MAU,935.745312,936.255312
372,jetzt,ADV,r1A,ORT-MAU,937.350146,937.487271
373,brauchen,VERB,r1A,ORT-MAU,937.487271,938.227271
374,wir,PRON,r1A,ORT-MAU,938.377271,938.827271
375,noch,ADV,r1A,ORT-MAU,939.017271,939.277271
376,Küche,NOUN,r1A,ORT-MAU,939.277271,939.987271
377,Bad,PROPN,r1A,ORT-MAU,939.987271,940.647271
378,Küche,NOUN,r1A,ORT-MAU,942.658063,942.945187
379,Bad,PROPN,r1A,ORT-MAU,942.945187,943.215187
380,brauchen,VERB,r1A,ORT-MAU,943.215187,943.405188
381,wir,PRON,r1A,ORT-MAU,943.405188,943.495188
382,noch,ADV,r1A,ORT-MAU,943.495188,943.635188
383,ne,X,r1A,ORT-MAU,943.635188,943.795187
384,ja,ADV,r1A,ORT-MAU,948.137438,949.008417
385,ja,ADV,r1A,ORT-MAU,951.374812,951.771938
386,ja,ADV,r1A,ORT-MAU,951.771938,952.201937
387,genau,ADV,r1A,ORT-MAU,952.341937,953.164708
388,ja,ADV,r1A,ORT-MAU,958.874479,958.991604
389,wir,PRON,r1A,ORT-MAU,958.991604,959.061604
390,wollen,AUX,r1A,ORT-MAU,959.061604,959.421604
391,also,ADV,r1A,ORT-MAU,959.421604,959.561604
392,vier,NUM,r1A,ORT-MAU,959.561604,959.881604
393,würd,PROPN,r1A,ORT-MAU,959.881604,960.081604
394,ich,PRON,r1A,ORT-MAU,960.081604,960.176604
395,sagen,VERB,r1A,ORT-MAU,960.176604,960.481604
396,vier,NUM,r1A,ORT-MAU,960.631687,960.828813
397,ist,AUX,r1A,ORT-MAU,960.828813,960.908812
398,schön,ADV,r1A,ORT-MAU,960.908812,961.198813
399,und,CCONJ,r1A,ORT-MAU,962.1725,962.239625
400,dann,ADV,r1A,ORT-MAU,962.239625,962.329625
401,brauchen,VERB,r1A,ORT-MAU,962.329625,962.519625
402,wir,PRON,r1A,ORT-MAU,962.519625,962.589625
403,dazu,ADV,r1A,ORT-MAU,962.589625,962.909625
404,auch,ADV,r1A,ORT-MAU,962.909625,962.959625
405,noch,ADV,r1A,ORT-MAU,962.959625,963.109625
406,die,DET,r1A,ORT-MAU,963.109625,963.219625
407,passende,ADJ,r1A,ORT-MAU,963.219625,963.569625
408,Dusche,NOUN,r1A,ORT-MAU,963.569625,963.919625
409,ja,ADV,r1A,ORT-MAU,967.895729,968.005729
410,also,ADV,r1A,ORT-MAU,968.005729,968.365729
411,sechzig,NUM,r1A,ORT-MAU,968.365729,968.895729
412,man,PRON,r1A,ORT-MAU,969.791625,969.89875
413,kann,AUX,r1A,ORT-MAU,969.89875,969.98875
414,das,PRON,r1A,ORT-MAU,969.98875,970.09875
415,ja,ADV,r1A,ORT-MAU,970.09875,970.16875
416,auch,ADV,r1A,ORT-MAU,970.16875,970.24875
417,irgendwie,ADV,r1A,ORT-MAU,970.24875,970.55875
418,noch,ADV,r1A,ORT-MAU,970.55875,970.74875
419,so,ADV,r1A,ORT-MAU,970.74875,970.84875
420,baulich,ADV,r1A,ORT-MAU,970.84875,971.23875
421,voneinander,ADV,r1A,ORT-MAU,971.23875,971.74875
422,so,ADV,r1A,ORT-MAU,971.74875,971.95875
423,mit,ADP,r1A,ORT-MAU,972.06875,972.16875
424,k-,PROPN,r1A,ORT-MAU,972.23875,972.27875
425,irgendwelchen,ADJ,r1A,ORT-MAU,972.51875,972.89875
426,halboffenen,VERB,r1A,ORT-MAU,972.89875,973.44875
427,Wänden,NOUN,r1A,ORT-MAU,973.44875,973.74875
428,oder,CCONJ,r1A,ORT-MAU,973.74875,973.97875
429,so,ADV,r1A,ORT-MAU,973.97875,974.05875
430,abtrennen,NOUN,r1A,ORT-MAU,974.05875,974.49875
431,ja,ADV,r1A,ORT-MAU,976.028271,976.164271
432,dann,ADV,r1A,ORT-MAU,979.90375,980.120875
433,jetzt,ADV,r1A,ORT-MAU,980.180875,980.380875
434,noch,ADV,r1A,ORT-MAU,980.380875,980.490875
435,die,DET,r1A,ORT-MAU,980.580875,980.800875
436,Küche,NOUN,r1A,ORT-MAU,980.800875,981.470542
437,ja,ADV,r1A,ORT-MAU,982.408208,982.588208
438,boah,VERB,r1A,ORT-MAU,983.857833,984.017833
439,die,DET,r1A,ORT-MAU,984.017833,984.087833
440,Küche,NOUN,r1A,ORT-MAU,984.087833,984.227833
441,vierzig,NUM,r1A,ORT-MAU,984.227833,984.567833
442,Quadratmeter,NOUN,r1A,ORT-MAU,984.697833,986.527833
443,na,X,r1A,ORT-MAU,986.527833,986.557833
